exp_group,predict_1,predict_2,predict_3
3,79.7983,136.576,198.118
3,97.5896,172.898,246.851
3,510.009,1020.2,1531.32
3,86.9588,150.655,218.412
3,93.8858,165.597,239.80900000000003
3,1315.76,921.7869999999999,409.077
3,81.8799,80.2558,93.2634
3,425.408,423.542,204.995
3,72.7437,101.041,141.46
3,162.496,102.928,88.6553
3,199.263,385.475,574.553
3,87.9945,150.012,216.79
3,102.065,186.544,273.433
3,103.26799999999999,76.5808,77.2928
3,323.914,638.128,954.2189999999999
3,131.3,246.09599999999998,363.495
3,619.762,907.9810000000001,534.095
3,188.859,370.57199999999995,554.6990000000001
3,83.7103,143.35,208.892
3,84.3453,77.7652,87.3614
3,168.011,329.38699999999994,495.29900000000004
3,222.58599999999998,438.74800000000005,660.426
3,110.39,75.6387,78.0845
3,64.5657,91.2794,126.79700000000001
3,263.051,128.583,93.4558
3,81.762,132.614,191.926
3,81.6484,74.6477,97.0823
3,76.4323,122.302,173.408
3,456.334,909.525,1359.43
3,111.44,205.088,301.223
3,651.695,1310.47,1973.07
3,634.305,1269.54,1895.26
3,73.6842,76.3557,91.0275
3,63.8027,68.1649,85.0069
3,893.456,1293.8,1555.47
3,576.023,384.634,301.009
3,69.0387,98.4587,138.649
3,90.6499,164.477,241.764
3,64.3962,71.4481,88.4689
3,407.73199999999997,807.798,1210.36
3,79.5313,86.1341,107.19200000000001
3,76.6472,119.809,169.08700000000002
3,73.434,111.31,157.378
3,-11691.6,-1269.81,-478.976
3,569.293,487.941,370.84
3,134.078,85.863,79.204
3,135.996,257.857,378.54699999999997
3,145.293,277.481,410.069
3,984.7330000000001,-24762.0,1160.27
3,112.083,78.0845,80.8033
3,204.68200000000002,405.426,603.9730000000001
3,122.515,219.74200000000002,321.575
3,91.7233,76.5608,82.1906
3,67.4443,72.1369,90.6386
3,83.0415,88.9932,111.39399999999999
3,250.862,494.605,736.935
3,75.1611,118.669,167.71599999999998
3,83.9007,68.0676,69.4598
3,885.503,475.844,530.484
3,283.589,148.058,109.648
3,123.133,79.4537,80.3014
3,88.9279,74.5487,83.5136
3,68.1016,84.7879,114.014
3,112.845,84.5251,87.0443
3,83.5385,77.7775,82.0129
3,71.8577,90.54899999999999,119.818
3,101.897,77.5011,76.5254
3,261.401,163.097,111.037
3,98.67299999999999,183.84599999999998,275.22700000000003
3,80.7159,144.137,214.696
