exp_group,predict_1,predict_2,predict_3
3,561.4209999999999,271.964,215.945
3,2274.78,1154.95,660.367
3,205.54,378.721,552.471
3,170.291,145.539,157.41299999999998
3,15922.4,-9733.59,-6162.24
3,458.67,246.797,175.717
3,183.57299999999998,325.503,474.744
3,423.353,239.752,177.68900000000002
3,141.82299999999998,203.963,281.783
3,174.576,141.298,144.233
3,201.13099999999997,376.25,552.63
3,706.133,592.553,386.76
3,497.30400000000003,303.237,216.94099999999997
3,141.124,154.506,192.821
3,1952.43,1569.72,1488.92
3,1542.06,201861.0,2606.82
3,430.13699999999994,238.106,171.47799999999998
3,1453.71,692.2239999999999,412.652
3,1301.74,856.798,1061.07
3,936.21,327.957,220.05700000000002
3,158.672,273.705,399.49800000000005
3,1051.01,458.67,315.568
3,771.648,1532.61,2324.3
3,127.833,165.351,225.56400000000002
3,996.9789999999999,510.89099999999996,412.644
3,131.07399999999998,162.085,213.989
3,142.266,151.515,167.71
3,1040.57,596.602,463.296
3,12173.6,1383.24,1645.16
3,372.124,199.451,167.763
3,1496.75,1403.91,779.925
3,342.088,660.8539999999999,985.3960000000001
3,132.385,149.641,188.261
3,150.662,245.34599999999998,347.69300000000004
3,464.645,914.2330000000001,1369.21
3,1571.21,1674.92,1152.53
3,-2559.74,-2493.34,-862.211
3,1026.41,853.74,540.057
3,295.33299999999997,570.855,853.9789999999999
3,816.699,489.18800000000005,366.536
3,135.77100000000002,158.93,211.727
3,2631.14,1538.93,1369.19
3,198.19099999999997,147.679,140.82399999999998
3,152.509,129.514,138.64
3,-21764.0,6545.58,-1881.01
3,150.464,248.298,354.461
3,245.59900000000002,157.028,155.10299999999998
3,218.34400000000002,405.12,596.528
3,450.469,224.00099999999998,170.88099999999997
3,131.951,151.41,196.44400000000002
3,221.89700000000002,406.30300000000005,598.404
3,262.039,160.343,140.893
3,183.16,140.835,143.393
3,145.66299999999998,231.416,328.63599999999997
3,368.898,677.345,1018.68
3,1657.54,684.307,910.3560000000001
3,157.889,257.33,372.195
3,129.186,142.901,179.545
3,159.884,261.282,378.955
3,368.251,715.694,1066.9
3,198.718,160.433,155.512
3,146.91299999999998,140.09,156.564
3,300.715,164.845,147.248
3,1024.78,776.453,495.218
3,174.731,130.582,131.65200000000002
3,608.832,1209.52,1808.49
3,133.451,183.976,251.387
3,130.724,145.296,191.61
3,3142.19,2599.23,1300.11
3,135.417,172.05900000000003,228.515
3,181.382,141.44799999999998,143.639
3,846.5939999999999,1674.37,2522.04
3,1033.68,586.628,428.925
3,451.25800000000004,888.319,1325.13
3,247.75099999999998,467.774,689.668
3,256.768,192.09799999999998,209.421
3,150.983,227.59799999999998,321.605
3,141.806,188.463,261.089
3,443.978,870.706,1302.4
3,1480.33,1025.7,628.305
3,151.694,248.856,359.786
3,142.779,193.868,276.091
3,632.4159999999999,318.749,232.19799999999998
3,-5928.79,17178.5,10287.3
3,433.70300000000003,320.046,224.187
3,370.541,746.375,1103.44
3,163.011,274.258,396.475
3,201.155,372.67900000000003,551.906
3,234.82,150.564,146.463
3,327.01,163.854,134.463
3,178.86,145.04399999999998,148.89700000000002
3,209.542,367.064,536.763
3,189.956,346.423,514.011
3,266.79400000000004,516.655,761.5889999999999
3,362.654,210.46900000000002,157.621
3,132.959,168.014,228.625
3,347.32199999999995,676.18,1005.07
3,138.067,157.747,209.39
3,543.175,270.721,187.957
3,1288.59,596.977,389.017
3,924.544,500.267,339.86
3,129.942,142.055,175.287
3,529.0219999999999,309.41700000000003,216.18
3,180.65099999999998,135.319,134.322
3,2763.08,2517.5,1930.77
3,138.718,162.507,219.343
3,1466.87,708.443,554.21
3,498.522,276.925,217.145
3,304.91900000000004,198.062,165.081
3,585.14,344.639,222.237
3,198.442,371.781,551.51
3,1776.98,3553.81,5326.34
3,162.248,141.92600000000002,144.998
3,275.339,526.323,778.25
3,842.63,370.24699999999996,314.883
3,343.119,231.12,191.43
3,-50206.0,6727.17,-10745.5
3,229.291,150.58100000000002,138.805
3,146.94799999999998,231.81799999999998,331.885
3,244.53799999999998,150.352,139.191
3,927.039,667.0989999999999,507.715
3,398.656,225.963,168.393
3,202.25400000000002,163.04,164.729
3,304.034,589.422,875.791
3,156.704,141.472,160.314
3,148.494,237.56599999999997,340.749
3,3673.96,1640.67,3966.55
3,526.86,337.48800000000006,247.922
3,377.535,250.253,193.77200000000002
3,178.493,142.245,147.977
3,158.44299999999998,141.08,148.725
3,129.622,161.909,218.493
3,148.72899999999998,151.125,184.17700000000002
3,3262.11,6535.91,9798.81
3,202.65900000000002,366.648,540.86
3,132.186,195.373,272.33
3,151.078,134.292,142.05200000000002
3,715.025,1421.24,2137.06
3,666.1189999999999,308.526,211.88099999999997
3,2839.58,2407.37,1220.94
3,322.14599999999996,175.62,150.46
3,713.058,299.995,214.498
3,586.28,1166.23,1742.58
3,679.5219999999999,1343.09,2030.09
3,1724.53,3163.02,1634.83
3,155.005,148.224,174.39
