exp_group,predict_1,predict_2,predict_3
3,105.083,139.91899999999998,190.80700000000002
3,516.377,1028.76,1543.62
3,146.539,102.14200000000001,101.772
3,262.226,142.542,122.211
3,5023.47,10047.6,15073.0
3,105.943,107.991,126.001
3,3900.42,7777.51,11632.7
3,842.252,517.82,426.89099999999996
3,119.182,197.25900000000001,289.876
3,303.89099999999996,166.07299999999998,134.138
3,1199.2,887.423,547.714
3,100.775,118.99799999999999,160.321
3,97.9113,128.94799999999998,175.524
3,114.17299999999999,154.743,219.537
3,301.619,585.118,875.398
3,127.667,224.859,323.86
3,102.995,108.02600000000001,132.458
3,110.0,135.495,178.037
3,134.936,239.787,347.751
3,260.879,504.773,754.6289999999999
3,100.949,158.06799999999998,225.08900000000003
3,556.594,312.684,202.549
3,131.202,225.43,327.062
3,104.38600000000001,124.509,159.57
3,676.862,1352.59,2023.98
3,115.413,179.023,250.68599999999998
3,118.05,115.774,131.014
3,1920.89,1001.04,489.931
3,4216.33,8449.05,12676.9
3,1909.54,3819.27,5719.05
3,6541.27,1702.08,1027.13
3,941.7280000000001,386.648,242.532
3,316.559,619.54,927.914
3,149.567,120.73299999999999,128.967
3,127.12799999999999,118.59200000000001,136.879
3,1557.17,976.6619999999999,1024.47
3,128.34,215.915,314.122
3,121.86,134.99,162.554
3,612.261,202.3,146.082
3,133.254,229.24900000000002,334.25
3,1212.71,614.942,414.439
3,126.419,216.435,309.472
3,290.207,560.471,838.961
3,126.775,100.915,106.459
3,1036.93,684.179,806.308
3,209.774,396.809,589.0319999999999
3,173.145,121.116,113.05799999999999
3,113.912,121.04799999999999,152.399
3,112.96799999999999,102.113,115.89399999999999
3,1606.15,1689.2,937.5980000000001
3,2579.59,1409.45,1272.56
3,110.601,150.952,207.06400000000002
3,369.30400000000003,341.327,344.48900000000003
3,335.565,656.893,979.717
3,276.935,539.821,803.595
3,150.659,140.32,184.945
3,935.413,677.9010000000001,531.794
3,125.993,226.73,330.756
3,656.182,441.04,383.96
3,102.63,119.26899999999999,158.436
3,601.618,236.31599999999997,176.787
3,100.764,152.726,218.06900000000002
3,112.46700000000001,183.604,260.749
3,435.077,358.18800000000005,273.81
3,776.7639999999999,516.254,384.999
3,1534.01,3076.12,4613.45
3,307.47,600.441,896.765
3,100.35700000000001,140.53799999999998,197.067
3,117.10700000000001,114.3,138.509
3,197.00599999999997,133.80200000000002,122.43299999999999
3,138.707,260.789,384.722
3,143.333,92.8065,95.0935
3,182.028,115.333,108.74799999999999
3,468.86699999999996,234.018,173.105
3,117.574,99.3278,107.057
3,180.421,346.245,511.38699999999994
3,909.936,400.38800000000003,335.13800000000003
3,157.62,289.251,432.037
3,914.4989999999999,573.596,657.158
3,167.71900000000002,118.301,112.95299999999999
3,124.28399999999999,208.328,302.926
3,108.943,116.26799999999999,143.158
3,275.853,153.964,120.631
3,236.27599999999998,148.834,130.7
3,546.336,369.405,302.617
3,309.26099999999997,160.607,126.273
3,117.99799999999999,110.209,124.198
3,8521.39,-8391.06,-1316.28
3,637.0219999999999,1267.82,1897.84
3,1986.72,999.8969999999999,518.7230000000001
3,320.839,226.635,160.49
3,109.069,130.298,172.702
3,106.296,130.566,179.62599999999998
3,3273.3,-45380.3,-1059.81
3,304.38,153.88,123.522
3,102.772,105.992,128.35399999999998
3,501.629,999.832,1495.32
3,111.509,132.061,176.49900000000002
3,295.788,574.133,854.317
3,161.908,106.616,103.85
3,335.256,184.68900000000002,139.67
3,743.113,309.469,188.738
3,126.499,217.042,315.122
3,104.156,112.87299999999999,146.327
3,221.483,426.972,630.874
3,107.609,113.48,139.704
3,339.939,218.77,153.306
3,301.084,176.731,136.286
3,571.651,1135.8,1691.87
3,178.93099999999998,335.88599999999997,497.728
3,550.971,443.50800000000004,338.074
3,1649.78,550.203,402.235
3,607.502,307.712,213.394
3,299.247,156.715,128.667
3,661.785,504.05800000000005,299.15
3,517.0930000000001,1023.86,1528.95
3,124.37799999999999,103.26700000000001,108.382
3,238.467,459.306,680.64
3,124.025,99.9979,107.749
3,368.264,218.298,167.005
3,271.242,519.811,780.051
3,353.67800000000005,209.761,158.862
3,874.6110000000001,637.5219999999999,424.94599999999997
3,2829.75,1240.07,1146.4
3,129.126,108.728,120.073
3,230.793,445.741,661.816
3,211.13099999999997,136.119,128.047
3,1957.4,1055.96,1206.77
3,824.079,737.11,568.721
3,333.098,654.015,970.2260000000001
3,321.233,195.88099999999997,127.024
3,137.812,244.75,355.594
3,535.2180000000001,777.0939999999999,415.913
3,115.71700000000001,197.012,282.112
3,93.4539,136.668,193.331
3,1028.6,321.653,219.40099999999998
3,707.985,337.889,268.289
3,130.20600000000002,111.15700000000001,113.65700000000001
3,107.008,103.611,122.671
3,840.393,482.101,295.779
3,108.522,181.101,258.302
3,120.99600000000001,99.5288,107.834
3,190.72299999999998,363.119,546.251
3,110.87799999999999,174.315,244.59400000000002
3,199.343,380.51099999999997,564.395
3,1482.21,741.529,654.533
3,97.6927,141.918,194.36
3,442.75300000000004,877.828,1312.18
3,142.909,102.38799999999999,97.4112
3,113.241,108.70100000000001,127.619
3,187.06400000000002,153.35299999999998,155.659
3,324.76,182.343,142.246
3,153.931,286.275,422.62800000000004
3,173.62400000000002,321.382,477.686
3,120.802,206.609,298.655
3,343.98900000000003,159.091,122.19
3,216.072,129.257,118.654
3,150.328,102.53,100.103
3,1520.45,1379.0,912.21
3,227.778,142.465,126.257
3,109.68,128.424,170.77
3,400.777,248.96400000000003,171.262
3,-12059.6,-1887.64,-868.1439999999999
3,108.81299999999999,126.853,168.851
3,330.726,640.4169999999999,959.28
3,2822.61,1482.09,532.138
3,138.107,103.637,112.781
3,972.7139999999999,1953.06,2926.63
3,107.454,133.612,181.74099999999999
3,666.895,1329.12,1983.41
3,461.517,184.726,128.7
3,128.016,216.361,322.863
3,347.102,683.6569999999999,1023.01
3,755.23,1499.36,2255.46
3,178.396,111.669,107.13
3,336.875,184.144,147.262
3,105.45100000000001,119.69,144.61700000000002
3,1139.72,706.6610000000001,411.42900000000003
3,111.027,101.899,119.516
3,109.431,136.292,181.37400000000002
3,295.949,577.232,861.663
3,11783.8,-2106.12,-1059.27
3,326.933,149.606,123.02
3,223.058,426.605,634.964
3,1507.23,619.293,522.94
3,175.38099999999997,331.35,491.634
3,122.51700000000001,101.50200000000001,102.64299999999999
3,142.425,112.125,113.762
3,498.598,988.029,1476.94
3,2347.7,779.935,576.507
3,111.786,120.579,153.968
3,286.768,553.745,824.112
3,120.48700000000001,195.611,281.499
3,296.02,582.112,869.905
3,113.93799999999999,184.28599999999997,265.036
3,94.6696,143.558,203.459
3,103.40700000000001,129.959,175.274
3,112.088,101.75200000000001,108.45200000000001
3,235.99200000000002,466.769,697.3969999999999
3,1085.86,2166.15,3249.14
3,264.471,513.4830000000001,765.706
3,619.945,1244.25,1857.44
3,231.65599999999998,445.658,659.7760000000001
3,1662.94,17382.0,5383.96
3,255.53099999999998,143.033,116.315
3,119.345,202.607,295.507
3,128.71200000000002,117.11,124.126
3,134.555,105.16799999999999,105.512
3,133.054,230.107,331.63599999999997
3,147.58700000000002,110.74700000000001,110.295
3,382.615,759.1410000000001,1136.12
3,215.077,416.46,618.265
3,110.04899999999999,118.15,144.011
3,122.345,100.366,106.35700000000001
3,121.289,95.8781,105.76899999999999
3,5023.47,10047.6,15073.0
3,132.73,108.839,119.881
3,134.826,240.94799999999998,342.811
3,250.245,145.715,119.29700000000001
3,198.726,373.083,555.779
3,247.218,137.65,112.13600000000001
3,1077.37,928.123,1493.21
3,171.268,312.715,462.31300000000005
3,548.915,232.305,166.83700000000002
3,162.756,312.163,461.87800000000004
3,147.06,132.795,147.996
3,1478.45,2955.21,4430.53
3,708.078,372.73199999999997,260.381
3,113.97399999999999,159.25799999999998,221.457
3,110.78200000000001,180.515,258.558
3,429.994,353.64599999999996,315.866
3,113.613,130.308,180.905
3,103.59299999999999,156.583,221.055
3,124.91799999999999,221.676,327.192
3,109.146,144.843,196.332
3,106.809,138.875,195.94
3,114.794,109.791,130.935
3,982.814,491.395,429.49800000000005
3,140.692,114.28399999999999,114.60799999999999
3,4247.39,-49809.7,-2080.49
3,10566.6,1118.36,2265.36
3,110.287,152.925,212.736
3,123.884,209.93599999999998,304.284
3,1366.45,1397.64,855.303
3,206.19799999999998,127.706,110.60600000000001
3,389.04,219.097,166.225
3,641.544,349.755,277.779
3,127.954,107.47200000000001,124.07799999999999
3,105.507,115.115,142.066
3,112.65899999999999,113.31299999999999,134.025
3,106.145,122.26100000000001,161.032
3,300.61400000000003,593.2909999999999,889.461
3,197.636,354.695,519.501
3,98.9772,135.653,184.38099999999997
3,154.528,101.196,101.477
3,250.929,485.945,722.2710000000001
3,483.70099999999996,263.127,179.01
3,1358.0,1052.36,639.422
3,152.46200000000002,100.324,100.709
3,755.182,1493.61,2256.21
3,351.536,687.1310000000001,1028.05
3,123.62100000000001,99.1026,105.081
3,632.073,496.27,323.978
3,166.017,301.379,440.43199999999996
3,397.76300000000003,253.282,222.815
3,802.4760000000001,656.115,491.017
3,299.02099999999996,584.028,873.627
3,439.024,308.671,283.149
3,796.7339999999999,1597.12,2385.12
3,111.704,97.1935,112.736
3,162.628,125.81700000000001,125.355
3,447.349,886.413,1328.28
3,1226.76,1141.69,590.906
3,116.334,106.238,119.478
3,2405.03,656.926,380.999
3,141.97,256.094,376.417
3,215.079,409.415,607.8919999999999
3,104.318,152.29399999999998,210.347
3,112.065,176.484,248.18900000000002
3,95.0825,139.07,201.34400000000002
3,729.315,414.798,300.76599999999996
3,128.216,98.6076,99.28299999999999
3,142.576,253.99599999999998,370.041
3,1418.83,414.19,419.977
3,-89696.7,24309.6,-2166.76
3,544.849,260.525,178.46
3,145.588,114.15799999999999,109.323
3,506.92,997.09,1489.07
3,393.49300000000005,217.94799999999998,168.109
3,180.58900000000003,106.681,98.1582
3,518.549,219.118,173.644
3,2064.01,-3627.71,-886.35
3,206.826,388.279,572.529
3,398.07199999999995,783.2710000000001,1171.71
3,203.50799999999998,133.5,111.486
3,321.443,184.537,146.08
3,309.427,596.099,890.154
3,197.43900000000002,122.96600000000001,110.875
3,202.149,373.542,550.573
3,181.393,338.358,498.834
3,109.10700000000001,129.408,172.285
3,211.825,408.329,607.7090000000001
3,461.06699999999995,289.697,188.16
3,103.12200000000001,100.102,115.509
3,1148.64,1212.37,942.8969999999999
3,1918.1,-3282.84,-2108.43
3,114.383,176.94400000000002,251.91
3,140.306,111.057,107.363
3,1539.25,970.915,732.2410000000001
3,232.09799999999998,452.977,677.1160000000001
3,285.401,143.536,121.137
3,448.51099999999997,887.992,1328.9
3,1702.19,643.179,713.5010000000001
3,200.475,374.241,555.128
3,1763.4,910.96,883.184
3,931.8330000000001,775.699,857.2539999999999
3,1744.88,-4018.64,-3162.6
3,338.649,196.997,152.246
3,142.481,139.138,164.983
3,141.519,252.63,368.76300000000003
3,670.3839999999999,542.8580000000001,295.13
3,121.87100000000001,103.473,107.59100000000001
3,107.97200000000001,110.73899999999999,130.881
3,104.137,123.25200000000001,160.864
3,505.379,1006.5,1507.54
3,112.462,101.32700000000001,110.889
3,106.476,161.517,220.97
3,159.311,105.289,101.04899999999999
3,119.475,200.97799999999998,297.425
3,140.55,101.749,103.022
3,121.89299999999999,208.294,302.775
3,217.19799999999998,407.267,603.612
3,235.81900000000002,115.71799999999999,101.251
3,141.664,104.29799999999999,106.28399999999999
3,899.819,8427.04,4953.93
3,181.988,340.66,501.165
3,704.076,402.11800000000005,296.67900000000003
3,243.86900000000003,135.23,112.75299999999999
3,103.113,117.492,150.734
3,157.843,288.278,411.19699999999995
3,98.0227,141.658,195.827
3,104.54,126.177,169.12099999999998
3,104.671,119.333,154.828
3,192.946,371.63300000000004,554.887
3,100.995,141.019,195.72299999999998
3,3124.24,823.562,850.9060000000001
3,100.60799999999999,97.0407,116.709
3,3923.19,1452.84,1189.87
3,1251.73,677.255,669.091
3,272.757,165.79,127.19200000000001
3,280.897,140.787,112.605
3,133.377,113.272,113.55
3,818.6519999999999,463.44800000000004,293.086
3,297.617,587.677,878.828
3,596.186,420.282,316.093
3,98.1897,141.46,201.327
3,101.089,146.73,202.328
